Wall time,Step,Value
1756830102.594858,6365184,591.6065063476562
1756830117.067979,6381568,601.0607299804688
1756830124.3184638,6389760,611.3344116210938
1756830131.536116,6397952,610.00830078125
1756830138.7440338,6406144,607.3201293945312
1756830145.9446623,6414336,595.4312133789062
1756830153.1768649,6422528,597.8317260742188
1756830174.6498306,6447104,593.6504516601562
1756830189.2090003,6463488,585.926513671875
1756830196.4628744,6471680,588.2733764648438
1756830210.8107498,6488064,602.5693969726562
1756830225.2827754,6504448,606.2115478515625
1756830239.7826421,6520832,598.772705078125
1756830247.0066803,6529024,597.47265625
1756830254.2632983,6537216,590.7848510742188
1756830268.6927783,6553600,594.7437133789062
1756830275.8640451,6561792,587.74072265625
1756830305.042252,6594560,611.4209594726562
1756830312.2546115,6602752,604.7981567382812
1756830319.6415024,6610944,603.3374633789062
1756830326.953557,6619136,611.7308349609375
1756830348.932501,6643712,615.9782104492188
1756830370.7634814,6668288,606.971923828125
1756830407.5299137,6709248,596.7783203125
1756830414.8939853,6717440,587.8218994140625
1756830429.59504,6733824,598.0372924804688
1756830436.9338675,6742016,603.7869873046875
1756830444.2581155,6750208,602.1558227539062
1756830458.9637296,6766592,602.0016479492188
1756830466.3230188,6774784,603.5697631835938
1756830473.6788166,6782976,615.2594604492188
1756830481.1032856,6791168,617.6720581054688
1756830510.5033815,6823936,605.8805541992188
1756830517.9052148,6832128,619.7567138671875
1756830532.522868,6848512,621.6254272460938
1756830539.7581816,6856704,615.9804077148438
1756830547.0973632,6864896,623.9720458984375
1756830561.7160802,6881280,608.660400390625
1756830569.0272646,6889472,616.1380615234375
1756830583.6170776,6905856,626.5541381835938
1756830590.8805885,6914048,621.2955932617188
1756830605.521045,6930432,606.2439575195312
1756830641.8455033,6971392,599.41748046875
1756830649.147201,6979584,607.812255859375
1756830670.8993661,7004160,610.7294921875
1756830685.4564998,7020544,619.3872680664062
1756830692.7419002,7028736,616.82421875
1756830714.584603,7053312,611.8693237304688
1756830721.9119997,7061504,623.7511596679688
1756830729.1778913,7069696,636.6668090820312
1756830751.1570656,7094272,642.0518798828125
1756830758.4747448,7102464,628.7492065429688
1756830787.9174683,7135232,631.523681640625
1756830795.268057,7143424,617.4014892578125
1756830868.3809383,7225344,636.3941650390625
1756830882.8916512,7241728,633.22802734375
1756830890.2258317,7249920,624.8375854492188
1756830897.6434236,7258112,621.6121826171875
1756830904.995334,7266304,612.30517578125
1756830912.391614,7274496,613.5707397460938
1756830919.6705086,7282688,613.0519409179688
1756830934.1875782,7299072,626.2045288085938
1756830948.817653,7315456,640.8643798828125
1756830970.6073549,7340032,635.9080200195312
1756830985.0684762,7356416,640.3002319335938
1756830992.3328571,7364608,626.3911743164062
1756831014.1488914,7389184,612.5866088867188
1756831021.5145128,7397376,629.1293334960938
1756831036.2031863,7413760,626.0552978515625
