generator,test_idx,speed,r_leg,l_leg,mse,dtw,fft
cubic_spline,534,1.3870564778645833,0.7341349720954895,0.7153636813163757,0.00931842637378634,0.14349234060407845,0.49010683986688147
cpg_matsuoka,534,1.3870564778645833,0.7341349720954895,0.7153636813163757,0.09811676663824916,0.7463873663660349,2.5814324580101573
fft_mlp_review,117,1.0940316550096676,0.8487747311592102,0.8559828996658325,0.019053021795417794,0.28821068622283474,0.743208492050523
fft_mlp,117,1.0940316550096676,0.8487747311592102,0.8559828996658325,0.0178023132303423,0.11176139906638674,0.27500358481251036
fft_mlp_old,117,1.0940316550096676,0.8487747311592102,0.8559828996658325,0.011721195626052,0.10510125965850249,0.2736237263448466
raw_mocap,117,1.0940316550096676,0.8487747311592102,0.8559828996658325,0.004608464700995037,0.13123958404673783,0.5148908722526322
cubic_spline,117,1.0940316550096676,0.8487747311592102,0.8559828996658325,0.008427705395439656,0.141445924228616,0.5040041779384149
cpg_matsuoka,117,1.0940316550096676,0.8487747311592102,0.8559828996658325,0.08229481706168383,0.6877007282149032,2.3934207141064157
fft_mlp_review,372,1.2743339700901761,0.9055006504058838,0.9061865210533142,0.019137473216486643,0.27153590813332107,0.7476685467551724
fft_mlp,372,1.2743339700901761,0.9055006504058838,0.9061865210533142,0.018029843595752167,0.12731246152149828,0.3032122624913442
fft_mlp_old,372,1.2743339700901761,0.9055006504058838,0.9061865210533142,0.021333136287169197,0.10676539730783988,0.20526323269471894
raw_mocap,372,1.2743339700901761,0.9055006504058838,0.9061865210533142,0.012820179581138456,0.2335908994053036,0.6201211576433702
cubic_spline,372,1.2743339700901761,0.9055006504058838,0.9061865210533142,0.014983482497308145,0.16890614598727338,0.4983885004952436
cpg_matsuoka,372,1.2743339700901761,0.9055006504058838,0.9061865210533142,0.09816905951631422,0.7474226506165738,2.6975221966500613
fft_mlp_review,1034,0.3702982988028691,0.8370497822761536,0.8500540852546692,0.03770861680668741,0.4551507014697804,0.9010772119546134
fft_mlp,1034,0.3702982988028691,0.8370497822761536,0.8500540852546692,0.07524407312286115,0.32004298369345224,0.8008314284345749
fft_mlp_old,1034,0.3702982988028691,0.8370497822761536,0.8500540852546692,0.07442020088347717,0.32584210186423995,0.8578060147337703
raw_mocap,1034,0.3702982988028691,0.8370497822761536,0.8500540852546692,0.0925703055290723,0.4386677742194068,0.8546405974464685
cubic_spline,1034,0.3702982988028691,0.8370497822761536,0.8500540852546692,0.08040014378244459,0.4475713207778285,0.8948251679679595
cpg_matsuoka,1034,0.3702982988028691,0.8370497822761536,0.8500540852546692,0.0492764109219509,0.5342010690343681,2.0118454715425806
fft_mlp_review,628,1.6318084716796875,0.7496078014373779,0.7579050064086914,0.058403479511876355,0.4120713220190453,0.8145237239961997
fft_mlp,628,1.6318084716796875,0.7496078014373779,0.7579050064086914,0.03779946761578309,0.13448045914134385,0.2142289688229199
fft_mlp_old,628,1.6318084716796875,0.7496078014373779,0.7579050064086914,0.03281226447109473,0.12045325378868363,0.19331069354872432
raw_mocap,628,1.6318084716796875,0.7496078014373779,0.7579050064086914,0.01687559065261611,0.2052833896120491,0.5716313259990158
cubic_spline,628,1.6318084716796875,0.7496078014373779,0.7579050064086914,0.01772413890920341,0.15070352316913196,0.4157486412277957
cpg_matsuoka,628,1.6318084716796875,0.7496078014373779,0.7579050064086914,0.08576900765437978,0.704808199517397,2.4468749801393037
fft_mlp_review,821,1.1050274219918759,0.8079240918159485,0.8084431886672974,0.024744857006778014,0.3289135373360764,0.8753884690096251
fft_mlp,821,1.1050274219918759,0.8079240918159485,0.8084431886672974,0.01129085698972697,0.16307310773628939,0.3564608656490867
fft_mlp_old,821,1.1050274219918759,0.8079240918159485,0.8084431886672974,0.01428973537520653,0.12645481579491152,0.23356034364323475
raw_mocap,821,1.1050274219918759,0.8079240918159485,0.8084431886672974,0.01455921297248791,0.26090453523369456,0.7147483530080384
cubic_spline,821,1.1050274219918759,0.8079240918159485,0.8084431886672974,0.016159051673521,0.2640571139018689,0.7637678661916544
cpg_matsuoka,821,1.1050274219918759,0.8079240918159485,0.8084431886672974,0.09738949299570034,0.7416846634517276,2.7043021963487575
fft_mlp_review,669,0.2942841957057763,0.8344907760620117,0.8224448561668396,0.03419896077662129,0.4391173765604417,0.9425125615560036
fft_mlp,669,0.2942841957057763,0.8344907760620117,0.8224448561668396,0.04897649090771041,0.2897494791105247,0.9398079824445184
fft_mlp_old,669,0.2942841957057763,0.8344907760620117,0.8224448561668396,0.054488325740862244,0.29938321039457144,0.8937865787943418
raw_mocap,669,0.2942841957057763,0.8344907760620117,0.8224448561668396,0.0699692055672035,0.40757696153561884,0.9445856708962053
cubic_spline,669,0.2942841957057763,0.8344907760620117,0.8224448561668396,0.06879353767596141,0.45909266177349306,1.0134762056147342
cpg_matsuoka,669,0.2942841957057763,0.8344907760620117,0.8224448561668396,0.0471954966809258,0.5173684554002909,1.9740184432271597
fft_mlp_review,63,1.8790263686069224,0.7213453650474548,0.7201067805290222,0.061925775007385664,0.4306988465699743,0.8986280667700232
fft_mlp,63,1.8790263686069224,0.7213453650474548,0.7201067805290222,0.03936972078171331,0.14913736476076805,0.4099673727829087
fft_mlp_old,63,1.8790263686069224,0.7213453650474548,0.7201067805290222,0.03424996716423947,0.12706123988945772,0.20916988668836903
raw_mocap,63,1.8790263686069224,0.7213453650474548,0.7201067805290222,0.031852901652288886,0.1805793305037667,0.6293062528751986
cubic_spline,63,1.8790263686069224,0.7213453650474548,0.7201067805290222,0.03525083266567221,0.19784002943417872,0.6432297077218506
cpg_matsuoka,63,1.8790263686069224,0.7213453650474548,0.7201067805290222,0.08954967499911727,0.7217978085813308,2.408768604789515
fft_mlp_review,735,1.4707609449114118,0.8427228331565857,0.8473520874977112,0.026649253186012346,0.3183088506572646,0.7604493562018749
