Speed,Angle,Distance,Success,Reward
2.1,3.81,0.22,True,982.6316565900621
2.4,3.81,0,False,277.5291301802944
2.7,3.81,0.26,True,621.7656469446953
3.0,3.81,0,False,233.47196812521432
0.3,4.32,0.1,True,1157.5996728067987
0.6,4.32,0.06,True,1038.4288857318395
0.9,4.32,-0.03,True,879.5696973654847
1.2,4.32,0.03,True,862.2843567839628
1.5,4.32,0.2,True,1081.2917940199281
1.8,4.32,0.08,True,991.0290583055627
2.1,4.32,0.34,True,1036.0506457958907
2.4,4.32,0,False,131.22557358245618
2.7,4.32,0,False,313.7343051385154
3.0,4.32,0,False,175.67534660986817
0.3,4.83,0.11,True,1091.556121130214
0.6,4.83,0.03,True,1110.5693226267006
0.9,4.83,-0.01,True,1006.244005316699
1.2,4.83,0,False,233.22065657371786
1.5,4.83,0.23,True,1047.571659814552
1.8,4.83,0.27,True,1002.464290560966
2.1,4.83,0,False,226.6605138586654
2.4,4.83,-1.5,False,626.0101623515267
2.7,4.83,0.09,True,614.4879934286323
3.0,4.83,0.29,True,913.3405890433206
0.3,5.34,0.1,True,1156.00738729785
0.6,5.34,0.05,True,1072.987327019942
0.9,5.34,-0.05,True,962.0060556107194
1.2,5.34,0.06,True,970.3349220168116
1.5,5.34,0.26,True,953.4697922122027
1.8,5.34,0.32,True,994.9826530414257
2.1,5.34,0.22,True,987.6857613252954
2.4,5.34,0,False,155.35319300913312
2.7,5.34,0.27,True,770.3573290260285
3.0,5.34,0,False,58.0991427930484
0.3,5.85,0.11,True,1075.8548692047232
0.6,5.85,-0.04,True,1022.999606733908
0.9,5.85,0.07,True,913.5766506171543
1.2,5.85,0.18,True,801.2412756659029
1.5,5.85,0.43,False,859.2211216165159
1.8,5.85,0,False,323.4681833816057
2.1,5.85,0.34,True,1003.6041970164141
2.4,5.85,0,False,225.7853103500465
2.7,5.85,0,False,339.5260424697789
3.0,5.85,0,False,205.01373112194725
0.3,6.36,0.05,True,1016.4991239812771
0.6,6.36,0.0,True,1082.799993092397
0.9,6.36,0.03,True,1057.829943088101
1.2,6.36,-0.03,True,909.8402085789547
1.5,6.36,0.15,True,963.190008547076
1.8,6.36,0.26,True,921.3142300431846
2.1,6.36,0.08,True,910.9524039303102
2.4,6.36,0.22,True,850.0916449799716
2.7,6.36,0,False,368.7093633471703
3.0,6.36,0,False,5.400770948040472
0.3,6.86,0.09,True,1148.0337817158675
